,Name,Value
922,Dota 2,981684.5999999987
673,Counter-Strike Global Offensive,322771.6000000001
2994,Team Fortress 2,173673.29999999993
670,Counter-Strike,134261.1
2691,Sid Meier's Civilization V,99821.3
675,Counter-Strike Source,96075.5
3067,The Elder Scrolls V Skyrim,70889.30000000003
1313,Garry's Mod,49725.30000000002
490,Call of Duty Modern Warfare 2 - Multiplayer,42009.900000000016
1733,Left 4 Dead 2,33596.69999999998
1234,Football Manager 2013,32308.6
1233,Football Manager 2012,30845.8
1235,Football Manager 2014,30574.8
3007,Terraria,29951.799999999985
3426,Warframe,27074.599999999995
1236,Football Manager 2015,24283.1
208,Arma 3,24055.7
1374,Grand Theft Auto V,22956.700000000008
414,Borderlands 2,22667.899999999994
1043,Empire Total War,21030.3
3265,Total War ROME II - Emperor Edition,20892.5
1968,Mount & Blade Warband,20636.8
492,Call of Duty Modern Warfare 3 - Multiplayer,20602.99999999999
777,DayZ,20315.4
2160,PAYDAY 2,19613.8
480,Call of Duty Black Ops - Multiplayer,17144.499999999996
3350,Unturned,16096.400000000018
3266,Total War SHOGUN 2,15761.499999999998
2523,Rust,15275.299999999996
1163,Fallout New Vegas,14832.900000000005
3415,War Thunder,14381.600000000004
484,Call of Duty Black Ops II - Multiplayer,13816.3
56,ARK Survival Evolved,13593.100000000004
1231,Football Manager 2010,13126.7
590,Clicker Heroes,12937.399999999998
1232,Football Manager 2011,11336.8
1162,Fallout 4,10762.800000000003
2197,Path of Exile,10185.600000000002
2028,Napoleon Total War,9966.000000000004
1087,Europa Universalis IV,9759.0
205,Arma 2 Operation Arrowhead,9429.700000000004
53,APB Reloaded,9237.2
2259,Portal 2,9117.099999999997
2482,Robocraft,9096.6
700,Crusader Kings II,9020.7
1732,Left 4 Dead,8659.900000000001
489,Call of Duty Modern Warfare 2,8635.400000000003
1657,Killing Floor,8171.1
671,Counter-Strike Condition Zero,7950.000000000003
2488,Rocket League,7827.200000000003
3530,XCOM Enemy Unknown,7696.099999999998
1230,Football Manager 2009,7434.4
1428,H1Z1,7364.200000000002
1084,Euro Truck Simulator 2,7226.899999999999
3259,Torchlight II,6891.9
92,Age of Empires II HD Edition,6858.499999999999
3031,The Binding of Isaac Rebirth,6735.5
315,Battlefield Bad Company 2,6678.5999999999985
1129,FINAL FANTASY XIV A Realm Reborn,6618.5
2237,PlanetSide 2,6239.700000000003
726,DARK SOULS II,6193.799999999998
74,AdVenture Capitalist,6067.7
3030,The Binding of Isaac,5458.0999999999985
491,Call of Duty Modern Warfare 3,5443.5999999999985
2473,Rising Storm/Red Orchestra 2 Multiplayer,5412.499999999999
1650,Kerbal Space Program,5334.499999999999
2848,Starbound,5189.8
1170,Far Cry 3,5076.000000000002
3436,"Warhammer 40,000 Dawn of War II  Retribution",4983.700000000002
2556,Saints Row The Third,4954.100000000001
3235,Tom Clancy's Ghost Recon Phantoms - NA,4910.799999999998
3179,The Witcher 3 Wild Hunt,4876.9000000000015
776,Day of Defeat Source,4840.300000000001
3308,Trove,4818.4
1808,METAL GEAR SOLID V THE PHANTOM PAIN,4751.0999999999985
413,Borderlands,4742.799999999998
755,Dark Souls Prepare to Die Edition,4738.5
2897,Stronghold Kingdoms,4703.0999999999985
1372,Grand Theft Auto IV,4686.3
728,DC Universe Online,4674.7
2773,Space Engineers,4467.0999999999985
285,Baldur's Gate II Enhanced Edition,4277.299999999998
1444,Half-Life 2,4260.3
2688,Sid Meier's Civilization IV Beyond the Sword,4201.4
1922,Might & Magic Heroes VI,4139.500000000001
27,7 Days to Die,4075.5000000000014
559,Chivalry Medieval Warfare,3964.4
479,Call of Duty Black Ops,3875.9999999999977
966,Dungeon Defenders,3816.200000000001
488,Call of Duty Ghosts - Multiplayer,3804.6000000000013
1445,Half-Life 2 Deathmatch,3712.8999999999987
348,BioShock Infinite,3689.1000000000013
850,Deus Ex Human Revolution,3587.4000000000005
916,Don't Starve,3581.9
2828,Star Trek Online,3501.100000000001
1634,Just Cause 2,3457.5000000000005
2047,Neverwinter,3451.4999999999995
3435,"Warhammer 40,000 Dawn of War II",3444.1000000000013
1496,Heroes & Generals,3299.5
1882,Medieval II Total War,3284.0
3181,The Witcher Enhanced Edition,3257.4999999999995
3178,The Witcher 2 Assassins of Kings Enhanced Edition,3254.300000000001
3234,Tom Clancy's Ghost Recon Phantoms - EU,3234.299999999999
227,Assassin's Creed IV Black Flag,3230.300000000001
1863,Marvel Heroes 2015,3219.800000000001
573,Cities Skylines,3201.2
3247,Tomb Raider,3184.3
2359,RIFT,3113.6
478,Call of Duty Advanced Warfare - Multiplayer,3096.3999999999987
284,Baldur's Gate Enhanced Edition,3094.9
3282,Train Simulator,2975.4999999999995
1829,Mafia II,2893.400000000001
416,Borderlands The Pre-Sequel,2852.1
885,Dishonored,2842.2
