,Name,Value
1336,Dota 2,4841.0
4257,Team Fortress 2,2323.0
4788,Unturned,1563.0
981,Counter-Strike Global Offensive,1412.0
2074,Half-Life 2 Lost Coast,981.0
984,Counter-Strike Source,978.0
2475,Left 4 Dead 2,951.0
978,Counter-Strike,856.0
4899,Warframe,847.0
2071,Half-Life 2 Deathmatch,823.0
1894,Garry's Mod,731.0
4364,The Elder Scrolls V Skyrim,717.0
3562,Robocraft,689.0
980,Counter-Strike Condition Zero Deleted Scenes,679.0
979,Counter-Strike Condition Zero,679.0
2142,Heroes & Generals,658.0
2070,Half-Life 2,639.0
3825,Sid Meier's Civilization V,596.0
4885,War Thunder,590.0
3222,Portal,588.0
3223,Portal 2,544.0
1131,Day of Defeat,534.0
3531,Ricochet,524.0
1179,Deathmatch Classic,524.0
4276,Terraria,496.0
2952,No More Room in Hell,438.0
619,Borderlands 2,429.0
3065,PAYDAY 2,427.0
1132,Day of Defeat Source,409.0
982,Counter-Strike Nexon Zombies,395.0
2072,Half-Life 2 Episode One,394.0
3194,PlanetSide 2,390.0
2069,Half-Life,388.0
4726,Trove,384.0
4365,The Elder Scrolls V Skyrim - Dawnguard,378.0
4367,The Elder Scrolls V Skyrim - Hearthfire,367.0
4258,Team Fortress Classic,366.0
2078,Half-Life Opposing Force,366.0
2073,Half-Life 2 Episode Two,365.0
4366,The Elder Scrolls V Skyrim - Dragonborn,365.0
2076,Half-Life Blue Shift,363.0
2531,Loadout,358.0
2960,Nosgoth,354.0
1140,Dead Island Epidemic,353.0
1977,Grand Theft Auto San Andreas,351.0
737,Call of Duty Modern Warfare 2 - Multiplayer,343.0
736,Call of Duty Modern Warfare 2,343.0
3114,Path of Exile,339.0
1679,Fallout New Vegas,337.0
4898,Warface,329.0
1281,Dirty Bomb,323.0
4617,Tom Clancy's Ghost Recon Phantoms - NA,314.0
2712,Metro 2033,312.0
2656,Marvel Heroes 2015,301.0
522,BioShock Infinite,296.0
227,Alien Swarm,289.0
2925,Neverwinter,288.0
2474,Left 4 Dead,281.0
1976,Grand Theft Auto IV,281.0
3066,PAYDAY The Heist,277.0
1978,Grand Theft Auto V,273.0
322,Arma 2,270.0
2077,Half-Life Deathmatch Source,268.0
1499,Empire Total War,263.0
81,APB Reloaded,262.0
3660,Saints Row The Third,259.0
4644,Tomb Raider,257.0
1806,FreeStyle2 Street Basketball,257.0
4522,The Witcher 2 Assassins of Kings Enhanced Edition,257.0
1328,Don't Starve Together Beta,256.0
727,Call of Duty Black Ops - Multiplayer,254.0
726,Call of Duty Black Ops,254.0
327,Arma 2 Operation Arrowhead Beta (Obsolete),250.0
326,Arma 2 Operation Arrowhead,250.0
1133,DayZ,249.0
5153,theHunter,248.0
873,Clicker Heroes,246.0
4601,Tom Clancy's Ghost Recon Phantoms - EU,245.0
2344,Just Cause 2,243.0
3898,Sniper Elite V2,242.0
3826,Sid Meier's Civilization V Brave New World,241.0
2610,Magicka,241.0
740,Call of Duty Modern Warfare 3,239.0
741,Call of Duty Modern Warfare 3 - Multiplayer,239.0
2619,Magicka Wizard Wars,238.0
174,Age of Empires II HD Edition,238.0
3871,Skyrim High Resolution Texture Pack,235.0
1139,Dead Island,231.0
257,Amnesia The Dark Descent,226.0
2051,HAWKEN,225.0
520,BioShock,224.0
4197,TERA,224.0
4658,Torchlight II,224.0
109,AdVenture Capitalist,222.0
3113,Patch testing for Chivalry,222.0
832,Chivalry Medieval Warfare,222.0
2032,GunZ 2 The Second Duel,221.0
1198,Defiance,218.0
2373,Killing Floor,215.0
3337,Quake Live,214.0
3613,Rust,214.0
2377,Killing Floor Mod Defence Alliance 2,213.0
454,Batman Arkham City GOTY,212.0
420,BLOCKADE 3D,209.0
