Name,Value
007 Legends,0.7
0RBITALIS,1.2
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),20.0
10 Second Ninja,5.9
"10,000,000",3.6
100% Orange Juice,78.30000000000001
1000 Amps,0.1
12 Labours of Hercules,34.699999999999996
12 Labours of Hercules II The Cretan Bull,34.29999999999999
12 Labours of Hercules III Girl Power,19.6
140,6.3
15 Days,0.5
16bit Trader,8.9
1701 A.D. Sunken Dragon,0.6
18 Wheels of Steel American Long Haul,5.8
1953 NATO vs Warsaw Pact,5.9
1Quest,2.7
3 Stars of Destiny,4.7
3089 -- Futuristic Action RPG,0.3
3D Mini Golf,1.0
3DMark,240.8
3DMark 11,3.0
3DMark Vantage,21.0
4 Elements,59.4
404Sight,3.6999999999999997
500 Years Act 1,3.0
60 Seconds!,9.3
7 Days to Die,4075.500000000001
8BitBoy,27.2
8BitMMO,12.299999999999997
9 Clues 2 The Ward,5.1
9 Clues The Secret of Serpent Creek,11.2
9.03m,0.3
99 Levels To Hell,6.9
99 Spirits,3.9
A Bird Story,11.6
A Game of Thrones - Genesis,79.2
A Golden Wake,1.2
A New Beginning - Final Cut,21.799999999999997
A Story About My Uncle,13.6
A Valley Without Wind,6.699999999999999
A Valley Without Wind 2,0.6
A Virus Named TOM,23.500000000000004
A Walk in the Dark,2.5
A-Train 8,0.1
A.R.E.S.,26.0
A.R.E.S. Extinction Agenda EX,9.6
A.V.A - Alliance of Valiant Arms,109.1
ACE - Arena Cyber Evolution,6.4
ACE COMBAT ASSAULT HORIZON Enhanced Edition,38.699999999999996
AI War Fleet Command,28.0
AION Free-to-Play,20.0
AKIBA'S TRIP Undead & Undressed,24.0
APB Reloaded,9237.199999999999
APOX,0.4
AR-K,0.4
ARK Survival Evolved,13593.100000000004
AXYOS,4.4
AZMD! Scorepocalypse ,1.1
AaAaAA!!! - A Reckless Disregard for Gravity,22.4
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,6.800000000000001
Abandoned Chestnut Lodge Asylum,5.7
Abducted,0.2
Aberoth,1.4
Absconding Zatwor,22.2
Absolute Drift,5.9
Abyss Odyssey,19.599999999999998
Abyss The Wraiths of Eden,6.8
Ace of Spades,521.2
Aces Wild Manic Brawling Action!,0.7
Achron,2.6
Act of Aggression,17.0
Action! - Gameplay Recording and Streaming,269.0
Actual Sunlight,1.3
AdVenture Capitalist,6067.7
Adventure Chronicles The Search For Lost Treasure,0.7
Adventure Park,0.9
Adventure Time  Explore the Dungeon Because I DONT KNOW!,0.3
Adventurer Manager,21.0
Adventures of Bertram Fiddle Episode 1 A Dreadly Business,1.7
Adventures of Shuggy,9.3
Aeon Command,1.3
Aerena,6.6
Afterfall InSanity - Dirty Arena Edition,0.9
Afterfall InSanity Extended Edition,57.699999999999996
Afterlife Empire,0.2
Aftermath,275.5
Agarest Generations of War,125.49999999999999
Agarest Zero,31.8
Age of Chivalry,970.0000000000001
Age of Conan Rise of the Godslayer,4.6
Age of Conan Unchained - EU version,143.70000000000002
Age of Empires II HD Edition,6858.499999999999
Age of Empires III Complete Collection,1422.1000000000001
Age of Empires Online,665.5999999999999
Age of Mythology Extended Edition,468.50000000000006
Age of Wonders,32.8
Age of Wonders 2,63.2
Age of Wonders III,1121.3000000000002
Age of Wonders Shadow Magic,35.8
Aggression Europe Under Fire,0.6
Agricultural Simulator 2011 Extended Edition,0.1
Agricultural Simulator 2013 Steam Edition,69.6
Aion,41.4
Aion Collectors Edition,22.0
Air Brawl,4.9
Air Conflicts - Secret Wars,3.3
Air Conflicts Pacific Carriers,7.6
AirBuccaneers,3.9000000000000004
AirMech,521.3
Airline Tycoon 2,31.0
Airline Tycoon Deluxe,0.6
Airport Madness World Edition,9.0
Airport Simulator 2014,8.5
Akane the Kunoichi,3.3
Akaneiro Demon Hunters,0.4
Akuatica,0.4
Alan Wake,1045.0000000000005
Alan Wake's American Nightmare,82.59999999999998
Albino Lullaby Episode 1,1.5
Alchemy Mysteries Prague Legends,19.9
Alex Hunter - Lord of the Mind,2.7
Alganon,0.5
Alice Madness Returns,221.70000000000005
Alien Breed 2 Assault,36.0
Alien Breed 3 Descent,27.2
Alien Breed Impact,42.9
Alien Isolation,359.00000000000006
Alien Rage - Unlimited,14.4
Alien Shooter Revisited,0.1
Alien Shooter Vengeance,13.299999999999999
Alien Swarm,1505.0000000000005
Aliens Colonial Marines,219.2
Aliens versus Predator Classic 2000,17.300000000000004
Aliens vs. Predator,912.0000000000001
All Is Dust,8.6
All Zombies Must Die!,13.3
Alone in the Dark,0.4
Alpha Kimori Episode One ,3.6
Alpha Prime,1.7000000000000002
Alpha Protocol,52.8
Alter World,0.1
Altitude,70.9
Always Sometimes Monsters,57.1
Amazing Adventures Around the World,12.0
Amazing Adventures The Lost Tomb,3.3
Amazing Princess Sarah,0.8
Amazing World,11.100000000000001
America's Army 3,169.9
America's Army Proving Grounds,1431.2000000000003
American Conquest,0.6
American Conquest - Fight Back,0.4
Amnesia A Machine for Pigs,110.2
Amnesia Memories,9.8
Amnesia The Dark Descent,574.2999999999998
Among Ripples,1.7000000000000002
Among the Sleep,10.4
Ampu-Tea,2.5999999999999996
An Assassin in Orlandes,5.0
Anachronox,0.1
Analogue A Hate Story,22.7
Anarchy Arcade,13.8
Ancient Planet,2.5
Ancient Space,27.0
And Yet It Moves,19.599999999999994
Angels Fall First,15.2
Angels of Fasaria Version 2.0,9.9
Angry Birds Space,2.7
Angry Video Game Nerd Adventures,19.7
Angvik,0.3
Anna - Extended Edition,39.4
Anna's Quest,18.5
Anno 1404,128.00000000000003
Anno 1404 Venice,67.0
Anno 2070,1618.1
Anno 2205,22.0
Anno Online,744.2
Anodyne,9.2
Anomaly 2,7.6
Anomaly Korea,0.9
Anomaly Warzone Earth,77.50000000000001
Anomaly Warzone Earth Mobile Campaign,2.1
Another Perspective,0.3
Another World,6.2
Anoxemia,24.6
Antichamber,139.39999999999998
Antisquad,16.2
Aperture Tag The Paint Gun Testing Initiative,3.6
Apollo4x,3.8
Apotheon,14.6
Apotheon Arena,6.300000000000001
Aqua Kitty - Milk Mine Defender,0.6000000000000001
AquaNox,0.8999999999999999
Aquaria,30.0
Arcadia,0.6
Arcane Worlds,0.2
ArcaniA,59.7
ArcheAge,1109.7000000000003
Archeblade,257.1
ArchonClassic,1.3
Arctic Combat,18.400000000000002
Arma 2,825.5
Arma 2 British Armed Forces,0.7
Arma 2 DayZ Mod,148.10000000000002
Arma 2 Free,3.2
Arma 2 Operation Arrowhead,9429.700000000003
Arma 2 Operation Arrowhead Beta (Obsolete),190.39999999999998
Arma 2 Private Military Company,5.4
Arma 3,24055.7
Arma Cold War Assault,37.9
Arma Combat Operations,99.2
Arma Tactics,9.7
Armada 2526,1.7999999999999998
Armello,14.0
Armikrog,4.7
Arms Dealer,1.9
ArtRage Studio Pro,9.3
Artemis Spaceship Bridge Simulator,8.5
Arx Fatalis,62.3
Ascend Hand of Kul,62.29999999999999
Ascendant,5.0
Ashes of the Singularity,0.7
Assassin's Creed,415.40000000000003
Assassin's Creed Brotherhood,976.4000000000001
Assassin's Creed Freedom Cry,8.9
Assassin's Creed II,1646.1
Assassin's Creed III,2545.3999999999996
Assassin's Creed IV Black Flag,3230.3000000000006
Assassin's Creed Revelations,1145.1
Assassin's Creed Rogue,62.0
Assassin's Creed Syndicate,96.4
Assassins Creed Chronicles China,9.6
Assassins Creed Unity,343.0
Assault Android Cactus,2.9
Assetto Corsa,283.29999999999995
Astebreed,0.8
Asteria,1.0
Asteroids Outpost,0.3
Astro Lords,0.30000000000000004
Atlantica Online,8.2
Atom Zombie Smasher ,110.80000000000001
Audiosurf,647.9
Audiosurf 2,110.30000000000001
Audition Online,10.299999999999999
Auditorium,0.9
Aura Fate of the Ages,10.799999999999999
Aura Kingdom,209.39999999999998
Autobahn Police Simulator,1.9000000000000001
Autocraft,5.1
Automation - The Car Company Tycoon Game,12.4
Avadon 2 The Corruption,2.9
Avadon The Black Fortress,1.0
Avernum 4,228.0
Avernum 5,222.0
Avernum 6,80.0
Avernum Escape From the Pit,257.0
Aveyond 3-1 Lord of Twilight,1.2
Aveyond 3-2 Gates of Night,0.6
Awesomenauts,1504.7
Axiom Verge,30.299999999999997
Axis Game Factory's AGFPRO 3.0,11.2
Azure Striker Gunvolt,5.5
B.U.T.T.O.N.,0.1
BAD END,3.8
BEEP,11.399999999999999
BIT.TRIP BEAT,21.599999999999998
BIT.TRIP CORE,0.1
