Name,Value
007 Legends,1.0
0RBITALIS,3.0
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),7.0
10 Second Ninja,6.0
"10,000,000",1.0
100% Orange Juice,10.0
1000 Amps,2.0
12 Labours of Hercules,10.0
12 Labours of Hercules II The Cretan Bull,12.0
12 Labours of Hercules III Girl Power,6.0
140,13.0
15 Days,1.0
16 Bit Arena,7.0
16bit Trader,3.0
1701 A.D. Gold Edition,1.0
1701 A.D. Sunken Dragon,1.0
18 Wheels of Steel American Long Haul,2.0
1953 - KGB Unleashed,4.0
1953 NATO vs Warsaw Pact,1.0
1954 Alcatraz,3.0
1Heart,1.0
1Quest,1.0
3 Stars of Destiny,1.0
3089 -- Futuristic Action RPG,1.0
3D Mini Golf,1.0
3DMark,18.0
3DMark 11,1.0
3DMark API Overhead feature test,17.0
3DMark Cloud Gate benchmark,17.0
3DMark Fire Strike benchmark,17.0
3DMark Ice Storm benchmark,17.0
3DMark Sky Diver benchmark,17.0
3DMark Vantage,1.0
3SwitcheD,1.0
4 Elements,4.0
404Sight,14.0
500 Years Act 1,1.0
60 Seconds!,7.0
7 Days to Die,103.0
"7 Grand Steps, Step 1 What Ancients Begat",4.0
7 Wonders Ancient Alien Makeover,1.0
"7,62 High Calibre",1.0
8-Bit Adventures The Forgotten Journey Remastered Edition,1.0
8-Bit Commando,1.0
8BitBoy,26.0
8BitMMO,49.0
9 Clues 2 The Ward,1.0
9 Clues The Secret of Serpent Creek,5.0
9.03m,2.0
911 First Responders,1.0
99 Levels To Hell,8.0
99 Spirits,3.0
A Bastard's Tale,1.0
A Bird Story,9.0
A City Sleeps,1.0
A Druid's Duel,1.0
A Farewell to Dragons,1.0
A Game of Thrones - Genesis,15.0
A Golden Wake,2.0
A New Beginning - Final Cut,15.0
A Story About My Uncle,11.0
A Valley Without Wind,10.0
A Valley Without Wind 2,10.0
A Vampyre Story,1.0
A Virus Named TOM,27.0
A Walk in the Dark,3.0
A Wizard's Lizard,2.0
A-Men 2,1.0
A-Train 8,3.0
A.I.M. Racing,1.0
A.I.M.2 Clan Wars,1.0
A.R.E.S.,12.0
A.R.E.S. Extinction Agenda EX,1.0
A.V.A - Alliance of Valiant Arms,63.0
ACE - Arena Cyber Evolution,35.0
ACE COMBAT ASSAULT HORIZON Enhanced Edition,19.0
AGFPRO Fantasy Side-Scroller Player,2.0
AI War Fleet Command,24.0
AION Free-to-Play,4.0
AKIBA'S TRIP Undead & Undressed,2.0
ALLTYNEX Second,3.0
APB Reloaded,262.0
APOX,1.0
AR-K,4.0
ARK Survival Evolved,163.0
AVSEQ,3.0
AXEL,1.0
AXYOS,2.0
AZMD! Scorepocalypse ,3.0
AaAaAA!!! - A Reckless Disregard for Gravity,8.0
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,19.0
Aarklash Legacy,1.0
Abandoned Chestnut Lodge Asylum,1.0
Abducted,1.0
Aberoth,5.0
"About Love, Hate and the other ones",3.0
Absconding Zatwor,8.0
Absent,1.0
Absolute Drift,3.0
Abyss Odyssey,15.0
Abyss The Wraiths of Eden,2.0
Ace of Spades,75.0
Aces Wild Manic Brawling Action!,5.0
Achron,3.0
Act of Aggression,5.0
Act of War Direct Action,1.0
Act of War High Treason,1.0
Action! - Gameplay Recording and Streaming,3.0
Actual Sunlight,1.0
AdVenture Capitalist,222.0
Advent Rising,1.0
Adventure Chronicles The Search For Lost Treasure,1.0
Adventure Park,1.0
Adventure Time  Explore the Dungeon Because I DONT KNOW!,1.0
Adventurer Manager,2.0
Adventures of Bertram Fiddle Episode 1 A Dreadly Business,1.0
Adventures of Shuggy,19.0
Aeon Command,3.0
Aerena,8.0
After All,1.0
Afterfall InSanity - Dirty Arena Edition,2.0
Afterfall InSanity Extended Edition,67.0
Afterfall Reconquest Episode I,1.0
Afterlife Empire,1.0
Aftermath,81.0
Agapan,1.0
Agarest - Additional-PP Pack 1 DLC,1.0
Agarest - Additional-PP Pack 2 DLC,1.0
Agarest - Additional-Points Pack 2 DLC,1.0
Agarest - Additional-Points Pack 3 DLC,1.0
Agarest - Additional-Points Pack 4 DLC,1.0
Agarest - Additional-TP Pack DLC,1.0
Agarest - Basic Adventure Pack DLC,4.0
Agarest - Carrot-and-Stick Pack DLC,2.0
Agarest - Dull-Things Pack DLC,4.0
Agarest - Fallen Angel Pack DLC,4.0
Agarest - Fishy Pack 1 DLC,2.0
Agarest - Fishy Pack 2 DLC,2.0
Agarest - Jack Pack DLC,2.0
Agarest - Legendary Adventure Pack DLC,2.0
Agarest - Legendary-Monster Pack DLC,4.0
Agarest - Magic Fight Pack DLC,4.0
Agarest - Playful Cat Pack DLC,2.0
Agarest - Rebellious Pack DLC,2.0
Agarest - Rumored Adventure Pack DLC,2.0
Agarest - Seasoned-Breeder Pack DLC,2.0
Agarest - Secret-Society Pack DLC,2.0
Agarest - Tonight's Dinner DLC,2.0
Agarest - Top-Breeder Pack DLC,2.0
Agarest - Ultimate Equipment Pack DLC,2.0
Agarest - Unlock Gallery DLC,1.0
Agarest - Unlock Voices DLC,1.0
Agarest - Upgrade Pack 1 DLC,3.0
Agarest 2 - Bundle #1,1.0
Agarest 2 - Bundle #2,1.0
Agarest 2 - Bundle #3,1.0
Agarest 2 - Bundle #4,1.0
Agarest 2 - Bundle #5,1.0
Agarest 2 - Bundle #6,1.0
Agarest Generations of War,12.0
Agarest Generations of War 2,3.0
Agarest Generations of War Premium Edition Upgrade,3.0
Agarest Zero,5.0
Agarest Zero - DLC Pack 1,1.0
Agarest Zero - DLC Pack 2,1.0
Agarest Zero - DLC Pack 3,1.0
Agarest Zero - DLC Pack 4,1.0
Agarest Zero - DLC Pack 5,1.0
Agarest Zero - DLC Pack 7,1.0
Age of Booty,2.0
Age of Chivalry,58.0
Age of Conan - Hyborian Adventures,1.0
Age of Conan Rise of the Godslayer,2.0
Age of Conan Unchained - EU version,12.0
Age of Empires II HD Edition,238.0
Age of Empires II HD The Forgotten,115.0
Age of Empires III Complete Collection,106.0
Age of Empires Online,29.0
Age of Fear 2 The Chaos Lord,1.0
Age of Mythology Extended Edition,45.0
Age of Wonders,5.0
Age of Wonders 2,5.0
Age of Wonders III,36.0
Age of Wonders Shadow Magic,7.0
Age of Wonders Trilogy Soundtrack,3.0
Age of Wushu,4.0
Aggression Europe Under Fire,2.0
Agricultural Simulator 2011 Extended Edition,3.0
Agricultural Simulator 2013 Steam Edition,7.0
Agricultural Simulator Historical Farming,7.0
Aion,17.0
Aion Collectors Edition,1.0
Air Brawl,2.0
Air Conflicts - Secret Wars,4.0
Air Conflicts Pacific Carriers,8.0
Air Forte ,2.0
AirBuccaneers,13.0
AirMech,75.0
Airline Tycoon 2,7.0
Airline Tycoon Deluxe,1.0
Airport Madness World Edition,1.0
Airport Simulator 2014,3.0
Akane the Kunoichi,3.0
Akaneiro Demon Hunters,1.0
Akaneiro Early Access Starter Pack,1.0
Akuatica,1.0
Alan Wake,130.0
Alan Wake's American Nightmare,85.0
Albedo Eyes from Outer Space,3.0
Albino Lullaby Episode 1,1.0
Alchemy Mysteries Prague Legends,7.0
Alex Hunter - Lord of the Mind,1.0
Alganon,7.0
Alice Madness Returns,39.0
Alien Breed 2 Assault,38.0
Alien Breed 3 Descent,22.0
Alien Breed Impact,32.0
Alien Carnage / Halloween Harry,3.0
Alien Hallway,2.0
Alien Isolation,39.0
Alien Rage - Unlimited,8.0
Alien Shooter,4.0
Alien Shooter 2 Conscription,2.0
Alien Shooter 2 Reloaded,8.0
Alien Shooter Revisited,1.0
Alien Shooter Vengeance,3.0
Alien Spidy,3.0
Alien Swarm,289.0
Alien Zombie Megadeath,1.0
Aliens Colonial Marines,25.0
Aliens versus Predator Classic 2000,16.0
Aliens vs. Predator,84.0
All Is Dust,22.0
All Zombies Must Die!,6.0
Alone in the Dark,2.0
Alpha Kimori Episode One ,4.0
Alpha Prime,27.0
Alpha Protocol,31.0
Alter Ego,1.0
Alter World,1.0
Altitude,32.0
Alum,1.0
Always Sometimes Monsters,24.0
Always Sometimes Monsters - Soundtrack,1.0
Always Sometimes Monsters Demo,2.0
Amazing Adventures Around the World,1.0
Amazing Adventures The Lost Tomb,1.0
Amazing Princess Sarah,1.0
Amazing World,29.0
Amazon's Jungle Bundle,2.0
America's Army 3,52.0
America's Army Proving Grounds,121.0
American Conquest,8.0
American Conquest - Fight Back,5.0
Amerzone The Explorer's Legacy,1.0
Amnesia A Machine for Pigs,39.0
Amnesia Memories,2.0
Amnesia The Dark Descent,226.0
Among Ripples,21.0
Among the Sleep,7.0
Ampu-Tea,6.0
Amygdala,1.0
An Alternative Reality The Football Manager Documentary,2.0
An Assassin in Orlandes,1.0
Anachronox,17.0
Analogue A Hate Story,11.0
Anarchy Arcade,27.0
Ancient Planet,1.0
Ancient Space,3.0
And Yet It Moves,37.0
Angels Fall First,3.0
Angels of Fasaria Version 2.0,2.0
Angry Birds Space,1.0
Angry Video Game Nerd Adventures,12.0
Angvik,1.0
Anna - Extended Edition,20.0
Anna's Quest,2.0
Anno 1404,13.0
Anno 1404 Venice,6.0
Anno 2070,59.0
Anno 2205,1.0
Anno Online,20.0
Anodyne,11.0
Anomaly 2,21.0
Anomaly 2 Soundtrack,2.0
Anomaly Defenders,3.0
Anomaly Korea,9.0
Anomaly Warzone Earth,62.0
Anomaly Warzone Earth Mobile Campaign,7.0
Another Perspective,4.0
Another World,8.0
Anoxemia,11.0
Antichamber,76.0
Antisquad,2.0
Antisquad - Skirmishes DLC,1.0
Antisquad Tasks in Mexico - final. Tactics DLC,1.0
Antisquad Tasks in Mexico - the beginning. Tactics FREE DLC,2.0
Antisquad Tasks in North Korea. Tactics DLC,1.0
Antisquad Tasks near the coast of Somalia. Tactics DLC,1.0
Aperture Tag The Paint Gun Testing Initiative,4.0
Apollo4x,1.0
Apotheon,5.0
Apotheon Arena,11.0
App Game Kit,4.0
Aqua Kitty - Milk Mine Defender,2.0
AquaNox,10.0
AquaNox 2 Revelation,10.0
Aquaria,28.0
Arcadia,2.0
Arcane Saga Online,16.0
Arcane Worlds,1.0
ArcaniA,30.0
ArcaniA Fall of Setarrif,6.0
ArcheAge,76.0
ArcheAge Archeum Founders Pack,1.0
ArcheAge Gold Founders Pack,1.0
ArcheAge Silver Founders Pack,1.0
Archeblade,139.0
ArchonClassic,2.0
Arctic Adventure,3.0
Arctic Combat,21.0
Arena Wars 2,4.0
Arma 2,270.0
Arma 2 British Armed Forces,48.0
Arma 2 DayZ Mod,130.0
Arma 2 Free,20.0
Arma 2 Operation Arrowhead,250.0
Arma 2 Operation Arrowhead Beta (Obsolete),250.0
Arma 2 Private Military Company,48.0
Arma 3,161.0
Arma 3 Helicopters,33.0
Arma 3 Karts,41.0
Arma 3 Marksmen,34.0
Arma 3 Zeus,161.0
Arma Cold War Assault,83.0
Arma Combat Operations,4.0
Arma Gold Edition,24.0
Arma Tactics,22.0
Arma X Anniversary Edition,2.0
Armada 2526,3.0
Armello,2.0
Armikrog,1.0
Arms Dealer,2.0
Arsenal of Democracy,2.0
Arson & Plunder Unleashed,1.0
ArtRage 4,1.0
ArtRage Studio Pro,1.0
Artemis Spaceship Bridge Simulator,4.0
Arx Fatalis,9.0
Ascend Hand of Kul,38.0
Ascendant,3.0
Ashes of the Singularity,3.0
Asphyxia,1.0
Assassin's Creed,51.0
Assassin's Creed Brotherhood,58.0
Assassin's Creed Freedom Cry,10.0
Assassin's Creed II,80.0
Assassin's Creed III,72.0
Assassin's Creed IV Black Flag,71.0
Assassin's Creed Liberation,3.0
Assassin's Creed Revelations,52.0
Assassin's Creed Rogue,2.0
Assassin's Creed Syndicate,3.0
Assassins Creed Chronicles China,7.0
Assassins Creed Unity,21.0
Assault Android Cactus,2.0
Assetto Corsa,19.0
Assetto Corsa - Dream Pack 1,5.0
Astebreed,4.0
Asteria,1.0
Asteroids Outpost,1.0
Astray,1.0
Astro Lords,3.0
Astro Tripper,1.0
AstroPop Deluxe,1.0
Atari 80 Classic Games in One!,2.0
Atlantica Online,18.0
Atom Zombie Smasher ,27.0
Attrition Nuclear Domination,3.0
Audiosurf,91.0
Audiosurf 2,7.0
Audition Online,28.0
Auditorium,3.0
Aura Fate of the Ages,3.0
Aura Kingdom,135.0
Aura Kingdom - Winter Gift,8.0
Autobahn Police Simulator,2.0
Autocraft,1.0
Automation - The Car Company Tycoon Game,2.0
Avadon 2 The Corruption,5.0
Avadon The Black Fortress,11.0
Avencast,18.0
Avernum 2 Crystal Souls,1.0
Avernum 4,5.0
Avernum 5,5.0
Avernum 6,5.0
Avernum Escape From the Pit,8.0
Aveyond 3-1 Lord of Twilight,5.0
Aveyond 3-2 Gates of Night,11.0
Avoid Sensory Overload,1.0
Awesomenauts,104.0
Axel & Pixel,1.0
Axiom Verge,5.0
Axiom Verge Original Soundtrack,1.0
Axis Game Factory's AGFPRO - Drone Kombat FPS Multi-Player DLC,4.0
Axis Game Factory's AGFPRO - Zombie Survival Pack DLC,4.0
Axis Game Factory's AGFPRO 3.0,15.0
Azure Striker Gunvolt,1.0
B.U.T.T.O.N.,1.0
BAD END,1.0
BEEP,22.0
BIT.TRIP BEAT,17.0
BIT.TRIP CORE,4.0
BIT.TRIP FATE,4.0
BIT.TRIP FATE Original Soundtrack,3.0
BIT.TRIP FLUX,3.0
BIT.TRIP FLUX Soundtrack,3.0
BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,37.0
BIT.TRIP RUNNER,60.0
BIT.TRIP VOID,4.0
BLOCKADE 3D,209.0
BRAINPIPE A Plunge to Unhumanity,4.0
BRINK,39.0
Babel Rising,2.0
Back to Bed,3.0
Back to Dinosaur Island ,25.0
Back to the Future Ep 1 - It's About Time,32.0
Back to the Future Ep 2 - Get Tannen!,32.0
Back to the Future Ep 3 - Citizen Brown,32.0
Back to the Future Ep 4 - Double Visions,32.0
Back to the Future Ep 5 - OUTATIME,32.0
Bad Hotel,3.0
Bad Mojo Redux,1.0
Bad Rats,32.0
Badland Bandits,1.0
Baldur's Gate Enhanced Edition,28.0
Baldur's Gate II Enhanced Edition,17.0
Ballad of Solar,1.0
Ballads of Reemus When the Bed Bites,1.0
Ballpoint Universe Infinite,9.0
Balls of Steel,3.0
Bang Bang Racing,2.0
Banished,93.0
Bard to the Future,1.0
Bard's Gold,1.0
Bardbarian,7.0
Basement,4.0
Bastion,141.0
Batla,36.0
Batla - Starter Pack,1.0
Batla - Tank,1.0
Batman Arkham Asylum,7.0
Batman Arkham Asylum GOTY Edition,182.0
Batman Arkham City,37.0
Batman Arkham City GOTY,212.0
Batman Arkham Knight,36.0
Batman Arkham Origins,151.0
Batman Arkham Origins -  Online Supply Drop 1,42.0
Batman Arkham Origins - Infinite Earths Skins Pack,57.0
Batman Arkham Origins - Initiation,58.0
Batman Arkham Origins - New Millennium Skins Pack,63.0
Batman Arkham Origins - Online Supply Drop 2,41.0
Batman Arkham Origins Blackgate - Deluxe Edition,41.0
Battle Academy,1.0
Battle Academy 2 Eastern Front,1.0
Battle Battalions,12.0
Battle Brothers,1.0
Battle Group 2,2.0
Battle Islands,22.0
Battle Los Angeles,1.0
Battle Mages,1.0
Battle Nations,20.0
Battle for Blood - Epic battles within 30 seconds!,3.0
Battle for Graxia,4.0
Battle of Empires  1914-1918,3.0
Battle vs Chess,2.0
BattleBlock Theater,125.0
BattleSpace,6.0
Battlefield 2,19.0
Battlefield Bad Company 2,120.0
Battlefield Bad Company 2 Vietnam,40.0
Battlegrounds of Eldhelm,8.0
Battlepaths,13.0
Battleplan American Civil War,1.0
Battlestations Midway,27.0
Battlestations Pacific,19.0
BeamNG.drive,19.0
Beast Boxing Turbo,2.0
Beasts of Prey,4.0
Beat Hazard,42.0
Beat Hazard - Shadow Operations Unit,6.0
BeatBlasters III,1.0
Beatbuddy Tale of the Guardians,30.0
Bedlam,1.0
Before the Echo,15.0
Bejeweled 2 Deluxe,3.0
Bejeweled 3,31.0
Bejeweled Deluxe,1.0
Bejeweled Twist,1.0
Belladonna,1.0
"Ben There, Dan That!",35.0
Bermuda,4.0
Besiege,94.0
Betrayer,18.0
Better Late Than DEAD,1.0
Between IGF Demo,2.0
Beware Planet Earth,3.0
